signal,cell_sigs,bg_sigs,cell_sigs.1,bg_sigs.1,cell_sigs.2,bg_sigs.2,cell_sigs.3,bg_sigs.3,cell_sigs.4,bg_sigs.4,cell_sigs.5,bg_sigs.5,cell_sigs.6,bg_sigs.6,cell_sigs.7,bg_sigs.7,cell_sigs.8,bg_sigs.8,cell_sigs.9,bg_sigs.9,cell_sigs.10,bg_sigs.10,cell_sigs.11,bg_sigs.11,cell_sigs.12,bg_sigs.12,cell_sigs.13,bg_sigs.13,cell_sigs.14,bg_sigs.14,cell_sigs.15,bg_sigs.15,cell_sigs.16,bg_sigs.16,cell_sigs.17,bg_sigs.17,cell_sigs.18,bg_sigs.18,cell_sigs.19,bg_sigs.19
0,0.6288807101104135,0.8960132801126016,0.6948081185924079,0.9221687099896418,0.606928,0.9148522666666666,0.550685925339665,0.8872541922516799,0.5748383107769915,0.8937231309855062,0.4652335384531974,0.9145103731553269,0.5040615829541105,0.8893413308490112,0.4924203713166411,0.9302260718026603,0.5466612438068476,0.9369898268571792,0.6855617205572853,0.941741546747133,0.6097556685253919,0.9046118345463817,0.6954384211841119,0.8892941078423202,0.5418862480950221,0.8945255190959706,0.6020716231805797,0.9176656148131005,0.6159948787123619,0.896836148957795,0.5929909420017725,0.8940172438853884,0.6052648135797964,0.9089056401264924,0.545082637866143,0.9299431793845321,0.7275999082136689,0.9362101354231742,0.48405066834628035,0.8938705838641761
1,0.09432056000577325,0.06152474173081986,0.08624272651704074,0.04825121835254963,0.090976,0.0497376,0.0997229916897507,0.06721122646249755,0.09327431717586095,0.06082571453067396,0.09168044674564234,0.04571747181789015,0.09706332667035257,0.06306101453946585,0.09492988133764833,0.042197219629331414,0.09594764475338312,0.03868836553423903,0.08392326022298367,0.037313250723867306,0.09203914463461685,0.05508328983076799,0.09495878091431427,0.06585993277217546,0.09618539070952431,0.06365031765533494,0.08961488426891828,0.049884337806577785,0.09094858135759848,0.06067913391491316,0.09370446590857881,0.061439128438567796,0.09480187741440274,0.055679940555919474,0.09547186572223391,0.04019752972922715,0.07931063634497168,0.04121897210965123,0.09703968087339912,0.06127262251562912
2,0.058656274806956774,0.020849561895961707,0.051208783596564146,0.014583085700701296,0.061152,0.016072533333333333,0.06679527766785384,0.022910474454730496,0.06235953402098279,0.021046490006201932,0.07335520073734718,0.017058262235609394,0.07168374941521712,0.02207963370966104,0.07795378413671719,0.013540488626172782,0.07139687939066774,0.011954316442503962,0.054006574713443375,0.01079143178777452,0.05882835816519787,0.018926931363199603,0.053869597801648766,0.02185182098508209,0.0676252632068777,0.020887465660730756,0.06303232615792445,0.01599046764221133,0.058315614592621384,0.020099380397636694,0.06191134277688483,0.021002286418306114,0.06100338488253577,0.017809324855599336,0.07080907964560394,0.013962263756721266,0.04868298692044782,0.011934160416659852,0.07173350129470221,0.0210499108830387
3,0.0490438045753049,0.01034473496183042,0.040887364921030754,0.007248560900646958,0.051056,0.008218666666666668,0.05902915182693576,0.011189628595031469,0.0540370781113521,0.011056589025583811,0.06584618721027949,0.009812991441277277,0.06246544464764173,0.011406835712424996,0.07221938340998127,0.006833355897421281,0.0655180063595356,0.006041395584991685,0.04343137425425704,0.005109776373013675,0.05032043952693392,0.00996922067917049,0.03912065950537097,0.010906464427591188,0.05836503449318861,0.010354021318518534,0.05387692987408262,0.00785502142799807,0.04912473231364838,0.010087674367477263,0.051493893737513334,0.010891057128157092,0.05162889607529791,0.00875366229635351,0.06143488323164317,0.007540562648411081,0.03689568966558375,0.0055843933541139925,0.06388130729932115,0.010880346344589174
4,0.04161073825503356,0.005988943983926336,0.03619423663064561,0.004064712774447708,0.045968,0.0050752,0.0516257749637251,0.006279861010568988,0.046646972804805044,0.006804311735684056,0.06164439263737157,0.005858099429868416,0.055745757665972014,0.006948522431751049,0.06415715664565945,0.0038925596531713064,0.05753161280780892,0.0033927606032762084,0.03610874367314282,0.002821199205947542,0.04315525925404727,0.005865311235235752,0.032495628278790906,0.006330527543961997,0.05185030072476413,0.00581046145632417,0.0466115215630446,0.0046025108964315165,0.041930542536409154,0.0060095558960062525,0.044876898349131,0.006487798462954717,0.04420480426822363,0.005034061936125858,0.05180353928512986,0.004333368504517756,0.031219429717032402,0.0029568283436855036,0.05877248232906432,0.006406728734431455
5,0.02681677130692069,0.0022842653228969125,0.022218758658908284,0.0014964086193136473,0.03016,0.0021141333333333334,0.035895660203139425,0.0022792307888842523,0.0323967299029374,0.002591005303376992,0.04692455745615224,0.002640401781310773,0.040381916386679706,0.002710972373690322,0.043831261000397435,0.0015065345938006102,0.03734378466316646,0.0013196924006684796,0.023915954985824363,0.0010652440777628176,0.03005623083372912,0.0022231518844346818,0.019555333499875094,0.002429091313164986,0.036494142556335,0.0020950920144719985,0.031000711813652094,0.0016439772782950173,0.029020629948863334,0.002349263279783329,0.030786678884198827,0.0024236956917972723,0.03031294434447786,0.0016881597429304236,0.03609416275101106,0.0017905963396199214,0.018912815062620016,0.001052116280109333,0.04207432290573168,0.0025135829326211156
6,0.02115898102042289,0.001189408143201732,0.015863119977833195,0.0007545720059092221,0.024288,0.0012256,0.028607703469199313,0.001149728749180286,0.026105816886341553,0.0013929297956702263,0.036731817072840144,0.0015148825005632787,0.032641517458427256,0.0015000860976568191,0.03332765570885142,0.0007542852256799,0.030577534570731348,0.000641345839577205,0.01777607708764545,0.00047745003485385253,0.024010976446375485,0.0011923520681702277,0.01517861603797152,0.0012689946384420924,0.02933956886422597,0.0010732560136799115,0.02348985051913306,0.0008475291865908998,0.02325918135607429,0.0011786602638403376,0.024282345165312223,0.0013681594909431534,0.023505429653584327,0.0008386482120606738,0.029945999018163968,0.0008378402942678979,0.014625427229139745,0.00046445754956121846,0.03443208062145706,0.001323561878402464
7,0.016857905751605687,0.0006683034011485793,0.012624688279301745,0.00047545465351242125,0.018848,0.0007157333333333333,0.022061733280569845,0.0006025430296630017,0.02128703640093039,0.0008050265725576129,0.030740871262435958,0.0007974158741827266,0.026857483094458384,0.0008764299937744772,0.02941009481632885,0.0004000460103808377,0.02303482954965614,0.00035047905656382524,0.013862557180874193,0.00025357901851126834,0.018464118395515604,0.0006763493531279048,0.011341493879590308,0.0006922799122149068,0.023115671424749008,0.0005885950411414805,0.019096242114822904,0.0005118534201920441,0.019311522135089205,0.0007861571876981939,0.01986600772107975,0.0007671383317682943,0.019755634130689183,0.000480158691361163,0.023540687752764335,0.0004910036637230823,0.010120650716778782,0.00023986070634616916,0.02809153894604241,0.000871246183586325
8,0.01316302229919896,0.0003696083118892464,0.00936893876420061,0.00028866889677539863,0.01536,0.0005237333333333333,0.018022028756100778,0.0003757909707968898,0.0171650653136133,0.0005066211487049984,0.025319200845780584,0.0005804107730053961,0.021934674435418706,0.0005783996432466322,0.02202918298983705,0.00023514154808644658,0.01745174887229165,0.0002086429574265587,0.01083610178630442,0.0001474790107659678,0.01503397890317625,0.0004400490443702054,0.008553584811391457,0.000406700558379865,0.018892727928430997,0.00030961412015434757,0.014874450798949461,0.0003002317413753741,0.014792290633073458,0.0005191169716718674,0.016058043292124197,0.00047643327972978275,0.015187930188370601,0.0002531153282514728,0.018584753489024476,0.00029460219823384935,0.008091689713892344,0.0001242914569248331,0.024074462873539086,0.0005309324703437061
9,0.010377426571407953,0.00022778186662941933,0.007169576059850374,0.00019103088757195497,0.011488,0.00034133333333333335,0.015334388603086665,0.00022142924058286988,0.014564297841853709,0.0003117668607415375,0.020249939006207814,0.0004236271831595735,0.017352103091906605,0.00041393104239978456,0.013512746266961903,0.000147599673041276,0.012793019300451083,0.00014594729041660757,0.008087941140660602,8.488000619624045e-05,0.012242959418811237,0.0002760855648240467,0.0067349487884086935,0.00023668639053254438,0.015204923277376424,0.00019473962327729282,0.011830833803784885,0.00018034753909006848,0.012231646814056106,0.00036948236786401206,0.013083775217437022,0.000308008924183661,0.0117778812396975,0.00014339580827980433,0.015054819178530519,0.00017968644714972374,0.0062076544969263655,5.451379689685663e-05,0.019035621806984395,0.0003446214817646774
10,0.008486685429746699,0.00014075200249270722,0.006078553615960099,0.00012523135963050382,0.009664,0.00026453333333333333,0.011278195488721804,0.00013839327536429368,0.011423748441993072,0.00022603097403761467,0.016346336306215944,0.00028449472594539987,0.013577595372772509,0.0002472548093268046,0.013966956225515244,8.550601748598058e-05,0.010241810249205058,8.941841032566802e-05,0.005774616040213591,7.42700054217104e-05,0.009704069845848946,0.00020374873561250606,0.005066200349737697,0.0001989054643442509,0.01177305459579567,0.0001236268394962589,0.009253577477234235,0.00014281857141814673,0.009419511191385262,0.0002693422868541396,0.010162082588514518,0.00020187850836007743,0.008871160549131129,0.00013687781699435868,0.010449540640998668,0.00010133479868327443,0.004951631018949047,5.8874900648605153e-05,0.016306249562600603,0.00021000371545035028
11,0.0063217146568521326,0.00010207206287639073,0.004121640343585481,8.384133398991356e-05,0.008016,0.0002272,0.008854372774040364,0.00010219811103824765,0.009048707958348464,0.00017815249185230712,0.014801160237469165,0.00018377943975305026,0.011770084634032238,0.0001843372908820374,0.010219724067450179,4.886058142056033e-05,0.006951120313539895,5.7556677910774814e-05,0.003948306750387004,3.289100240104318e-05,0.007382129266419227,0.00012297260965961904,0.003767174619035723,0.00014112287135039031,0.010446840935794972,9.299364032904433e-05,0.008566309123487397,8.235523461338388e-05,0.007468544472133946,0.00018761877246677248,0.008494689879977767,0.00014189175159022585,0.007298259742547596,7.387056790171739e-05,0.008953409542511162,7.83516484664493e-05,0.0034178331179575126,2.8347174386365447e-05,0.012051228217509972,0.00016477214596873638
12,0.005066031608573284,6.876433709567376e-05,0.003082571349404267,7.004465877638348e-05,0.005664,0.00016426666666666666,0.007386888273314866,7.984227424863097e-05,0.007125121450933823,0.000124706744296615,0.010545148960394697,0.00013913245721417365,0.00882490537149662,0.00013797701413326152,0.007891898029864305,3.766336484501525e-05,0.005878873031132145,2.7750541135552143e-05,0.002991668550954029,2.864700209123115e-05,0.005881076770626279,0.00010127156089615686,0.003077691731201599,9.778592660499485e-05,0.008201584476320106,7.767704074543702e-05,0.005645418620063327,7.193052137118338e-05,0.005959593650213006,0.00014963460380785536,0.006677081612113383,0.00011305196468164336,0.0055743604585320435,5.4316594045380425e-05,0.007246885008298852,7.208351658913336e-05,0.0024154297653409982,2.180551875874265e-05,0.009881727202743369,0.0001281561135312394
13,0.004459839792162806,5.1573252821755314e-05,0.0027362150180105294,5.730926627158649e-05,0.0048,9.386666666666667e-05,0.0056885635140482785,5.7486437459014297e-05,0.006075000245355422,9.909732359284584e-05,0.008240939033316165,9.55237765948058e-05,0.00714498362607919,0.00011258924353274139,0.006188610685289275,3.05378633878502e-05,0.004880573837166309,3.391732805456373e-05,0.002713373802028073,1.697600123924809e-05,0.00457351932311914,7.836489831250233e-05,0.0025281039220584564,6.111620412812178e-05,0.006747402831582499,5.798426985222763e-05,0.0042217913158734445,6.880310739852323e-05,0.00452685246576282,0.00010014008100987243,0.0054978894713914464,8.998013515477737e-05,0.004479621497149903,2.824462890359782e-05,0.005400098183603338,4.387692314121161e-05,0.0019806524075796188,1.0902759379371325e-05,0.0076842326264959055,0.0001087711551819763
14,0.00329075557479974,3.545661131495678e-05,0.0018703241895261845,3.820617751439099e-05,0.003248,8e-05,0.004484896451655455,3.406603701274921e-05,0.005024879039777021,6.569373137053825e-05,0.006831304724985768,7.579604012413938e-05,0.006007315102283843,9.82396340628822e-05,0.0036904559132458978,1.8322718032710125e-05,0.0034755601567699477,1.130577601818791e-05,0.001913276398865949,9.549000697077051e-06,0.003963716746703255,5.666384954904015e-05,0.0019085685735698227,4.6670555879656635e-05,0.005095452483160577,3.391532764941617e-05,0.003730885348911416,3.4401553699261616e-05,0.003901933438502633,7.942144355955399e-05,0.004153460215409112,8.190499482037427e-05,0.003170968026072404,3.258995642722826e-05,0.004628655585945719,2.925128209414107e-05,0.001316409222110844,7.631931565559928e-06,0.005724683322835748,7.215512274447932e-05
15,0.00241033412715595,2.686106917799756e-05,0.0014027431421446384,3.289976397072558e-05,0.002832,6.506666666666667e-05,0.0032977179791584222,2.5549527759561912e-05,0.003356462171101057,6.23533721483075e-05,0.0052048035999891565,6.645132284856055e-05,0.00441245268574831,7.505949568849427e-05,0.0029523647305967184,1.3233074134735089e-05,0.003031871626118465,1.7472562937199498e-05,0.0016175882281321205,9.549000697077051e-06,0.003078330313637883,4.340209752692437e-05,0.0014089432925306021,3.333611134261188e-05,0.004013541339475796,2.6257027857612514e-05,0.003264524680297489,3.3359082375041565e-05,0.0030026597163477294,5.8702806109235564e-05,0.0033873608628381727,4.499006757738869e-05,0.0029696367228297113,2.281296949905978e-05,0.002922131051733408,2.7161904801702423e-05,0.0009178633108295794,7.631931565559928e-06,0.005094828189516411,4.630851161212852e-05
16,0.0018618748646893268,2.9009954712237367e-05,0.0010563868107509005,1.5919240630996246e-05,0.002288,6.08e-05,0.0023084025854108957,2.2355836789616672e-05,0.003042407231114993,4.119776374084602e-05,0.0036867358833256527,5.191509597543793e-05,0.003902096712456939,5.7398437879436786e-05,0.0032930221995117245,1.2215145355140082e-05,0.0017377800783849738,3.0833934595057935e-06,0.0009044579340093577,4.244000309812022e-06,0.00228675966155957,2.652350404423156e-05,0.0011591306520109918,2.3335277939828317e-05,0.0030130643678963225,1.641064241100782e-05,0.002331803343069635,2.084942648440098e-05,0.0022177004503989572,4.949452279798293e-05,0.002628772288233615,3.114696986126909e-05,0.002076229064690264,1.8467641975429347e-05,0.0022675736961451248,1.6715018339509183e-05,0.0007729375249091194,5.4513796896856625e-06,0.003961088949541606,5.707793291727469e-05
17,0.0015299126795121599,1.719108427391844e-05,0.0008832086450540316,1.379667521353008e-05,0.001792,3.4133333333333334e-05,0.0021435166864529746,1.809758216302302e-05,0.002443740001766559,3.340359222230759e-05,0.003253002249993223,3.530226526329779e-05,0.0028813847658741972,2.8699218939718393e-05,0.002498154772043377,3.0537863387850205e-06,0.0014419877246173187,4.111191279341059e-06,0.0005913763414676569,4.244000309812022e-06,0.0019818583733516274,2.5317890224039215e-05,0.0008593554833874594,3.444731505403228e-05,0.0024430251631591808,1.8598728065808865e-05,0.0016690802876708967,1.9806955160180932e-05,0.0017528216618273547,3.568209783110397e-05,0.0019302699373601117,2.653260395589589e-05,0.0016609832517522115,1.629497821361413e-05,0.00222081959931739,1.567032969328986e-05,0.0007125517807755945,4.36110375174853e-06,0.0033452305969626987,2.8000495393380038e-05
18,0.001212383632820957,9.669984904079122e-06,0.0004502632308118592,9.551544378597748e-06,0.001536,3.093333333333333e-05,0.0014509959108297058,9.581072909835716e-06,0.0019530291580383344,2.226906148153839e-05,0.00284637696874407,2.2842642229192688e-05,0.0023922936248033004,2.8699218939718393e-05,0.0011923011412025208,8.143430236760055e-06,0.0013680396361754048,8.222382558682117e-06,0.0005739829196597846,6.366000464718034e-06,0.0014951890094812574,1.4467365842308124e-05,0.0007894079440419685,2.000166680556713e-05,0.0018031852394746332,1.641064241100782e-05,0.0013990820058417811,7.297299269540343e-06,0.0013793944382206574,2.992692076157107e-05,0.0015772633729401692,1.6150280668806196e-05,0.0012583206452668268,8.690655047260869e-06,0.001659770437384576,1.1491575108412564e-05,0.0004589316554147897,2.180551875874265e-06,0.0027433690251242216,3.553909030698236e-05
